"individual_carrier_prevalence","both_carriers_probability","one_carrier_probability","neither_carrier_probability","strategy","incremental_cost_thb","births_averted_proportion","icer_thb_per_birth_averted","net_cost_saving_thb","cost_saving_at_average_management_cost"
0.2,0.04,0.32,0.64,"Strategy 4: Combined screening",1089.629,0.006943,156939.219357626,3652.7255364595,TRUE
0.21,0.0441,0.3318,0.6241,"Strategy 1: Post-conception screening",859.325556,0.003427452,250718.480083747,1481.76511672032,TRUE
0.21,0.0441,0.3318,0.6241,"Strategy 2: Pre-conception screening, targeted DNA",1044.6,0.0055125,189496.598639456,2720.6642059964,TRUE
0.21,0.0441,0.3318,0.6241,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0055125,1088435.37414966,-2234.7357940036,FALSE
0.21,0.0441,0.3318,0.6241,"Strategy 4: Combined screening",1121.3659725,0.0076546575,146494.597896771,4107.0799039466,TRUE
0.22,0.0484,0.3432,0.6084,"Strategy 1: Post-conception screening",901.001744,0.003761648,239523.140921213,1668.35854079962,TRUE
0.22,0.0484,0.3432,0.6084,"Strategy 2: Pre-conception screening, targeted DNA",1070.4,0.00605,176925.619834711,3061.99881111623,TRUE
0.22,0.0484,0.3432,0.6084,"Strategy 3: Pre-conception screening, universal DNA",6000,0.00605,991735.537190083,-1867.60118888377,FALSE
0.22,0.0484,0.3432,0.6084,"Strategy 4: Combined screening",1154.65109,0.00840103,137441.6101359,4583.59789911599,TRUE
0.23,0.0529,0.3542,0.5929,"Strategy 1: Post-conception screening",944.434964,0.004111388,229711.952265269,1863.81212413843,TRUE
0.23,0.0529,0.3542,0.5929,"Strategy 2: Pre-conception screening, targeted DNA",1097.4,0.0066125,165958.412098299,3419.20944438116,TRUE
0.23,0.0529,0.3542,0.5929,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0066125,907372.400756144,-1483.39055561884,FALSE
0.23,0.0529,0.3542,0.5929,"Strategy 4: Combined screening",1189.4843525,0.0091821175,129543.577774952,5082.27952196769,TRUE
